timestamp,container/edge-router_1/CPU_usage,container/edge-router_1/MEM_usage,container/edge-router_1/Cached_MEM_usage,container/edge-router_1/NET_Input,container/edge-router_1/NET_Output,container/edge-router_1/FS_usage,container/edge-router_1/FS_reads,container/edge-router_1/FS_writes,container/front-end_1/CPU_usage,container/front-end_1/MEM_usage,container/front-end_1/Cached_MEM_usage,container/front-end_1/NET_Input,container/front-end_1/NET_Output,container/front-end_1/FS_usage,container/front-end_1/FS_reads,container/front-end_1/FS_writes,service/edge-router:80/request_duration_seconds_count,service/edge-router:80/request_duration_seconds_bucket
1545211900,3.034602027,44036096,270336,435112.073,438096.5161,53248,0,0,3.715109115,119521280,106496,23582.82176,407998.0849,81920,0,0,39.24135799,244.7584238
1545211870,0.526926779,44036096,270336,89086.67754,89682.58466,53248,0,0,0.851014698,113053696,106496,4115.830889,85480.96497,81920,0,0,34.34023415,200.7428852
1545211780,2.260436679,44036096,270336,278621.0611,280850.7454,53248,0,0,3.031185042,110223360,106496,16721.60822,267722.3185,81920,0,0,33.96911898,199.5277021
1545211750,0.524152296,44036096,270336,62915.72114,63323.68259,53248,0,0,0.637146955,171364352,106496,3259.911068,60408.96967,81920,0,0,35.05582021,216.7533365
1545211690,3.196995842,44036096,270336,395724.4941,398090.1732,53248,0,0,4.284760089,176541696,106496,23261.9445,384242.8124,81920,0,0,33.33212104,196.0648822
1545211640,3.087272063,44036096,270336,376879.5552,379966.8938,53248,0,0,3.648364839,154578944,106496,22692.37805,362182.3709,81920,0,0,32.07156103,184.5023817
1545211500,2.21503814,42934272,270336,292249.2636,294314.9729,53248,0,0,2.851059742,120528896,106496,17691.56799,297673.9145,81920,0,0,39.45526282,237.6588665
1545211480,2.775966621,42930176,270336,357765.6169,360407.6346,53248,0,0,3.781530465,119349248,106496,20214.34403,343710.1012,81920,0,0,33.70725233,197.843754
1545211420,2.832315743,42930176,270336,366079.5691,371287.1049,53248,0,0,3.196563243,119001088,106496,20545.73626,346904.5536,81920,0,0,30.92783505,196.6217568
1545211410,3.275061831,42930176,270336,416099.6346,419284.8085,53248,0,0,4.174278648,119406592,106496,24867.46427,404015.5819,81920,0,0,34.27408363,199.084086
1545211380,3.017664956,42930176,270336,392154.2548,394581.198,53248,0,0,4.343840663,119054336,106496,22861.25415,388961.6755,81920,0,0,37.22301059,214.0050213
1545211370,2.678015229,42930176,270336,348574.6041,348425.5275,53248,0,0,3.993626807,118853632,106496,21175.08557,345314.9472,81920,0,0,30.41928797,172.0608022
1545211330,2.655575037,42930176,270336,333042.6816,335874.7161,53248,0,0,3.183088128,102780928,106496,20484.32081,319967.4412,81920,0,0,34.36182585,195.74066
1545211320,2.910063128,42930176,270336,366191.4104,369225.2353,53248,0,0,3.517681469,110399488,106496,22732.5705,352031.1769,81920,0,0,32.11434598,182.884472
1545211300,2.982289859,42930176,270336,395704.9109,398621.4346,53248,0,0,3.911462826,109371392,106496,22425.33698,379435.1777,81920,0,0,33.4957812,210.3942392
1545211270,3.285205085,42930176,270336,394759.014,398102.8737,53248,0,0,4.224037473,109064192,106496,23809.44774,376100.6632,81920,0,0,33.32727273,189.9454545
1545211230,2.997125134,42930176,270336,365100.1412,368236.4818,53248,0,0,3.455667,95289344,106496,22397.43218,350719.6226,81920,0,0,31.87156831,177.5026363
1545211180,2.674317909,42930176,270336,363504.0841,366210.4934,53248,0,0,3.297068613,108384256,106496,20469.69614,349277.4995,81920,0,0,31.30795244,187.7568088
1545211140,2.775755875,42930176,270336,342787.7352,372862.5353,53248,0,0,4.001777836,106311680,106496,19325.80556,316411.6315,81920,0,0,32.3642248,166.0757468
1545211120,2.788961017,42930176,270336,344520.5317,347811.3513,53248,0,0,3.795126731,115417088,106496,20754.8565,315756.5922,81920,0,0,31.76479145,163.3695771
