timestamp,container/front-end_1/CPU_usage,container/front-end_1/MEM_usage,container/front-end_1/Cached_MEM_usage,container/front-end_1/NET_Input,container/front-end_1/NET_Output,container/front-end_1/FS_usage,container/front-end_1/FS_reads,container/front-end_1/FS_writes,service/edge-router:80/request_duration_seconds_count,service/edge-router:80/request_duration_seconds_bucket
1544019120,0.058435529,109490176,25026560,990.3818182,3835.054545,238931968,0,0,1.159928025,13.55279204
1544019110,0.034657712,109060096,25026560,547.3818182,3455.909091,238931968,0,0,0.470487142,5.464030824
1544019100,0.016221675,109023232,25026560,172.1454545,3127.218182,238931968,0,0,0,0
1544019090,0.012106501,108376064,25026560,116,3087,238931968,0,0,0,0
1544019080,0.012210198,108355584,25026560,115.9978909,3086.943874,238931968,0,0,0,0
1544019070,0.011127418,108838912,25026560,105.4545455,2806.363636,238931968,0,0,0,0
1544019060,0.012504993,108310528,25026560,116,3087,238931968,0,0,0,0
1544019050,0.012276511,108404736,25026560,116,3087,238931968,0,0,0,0
1544019040,0.012448391,108371968,25026560,116,3087,238931968,0,0,0,0
1544019030,0.012466822,108236800,25026560,116,3087,238931968,0,0,0,0
1544019020,0.013120203,108306432,25026560,116,3087,238931968,0,0,0,0
1544019010,0.013503398,108269568,25026560,116,3087.036364,238931968,0,0,0,0
1544019000,0.013892063,108142592,25026560,116,3087.036364,238931968,0,0,0,0
1544018990,0.01927391,108187648,25026560,116,3087.036364,238931968,0,0,0,0
1544018980,0.019561892,108052480,25026560,116,3087,238931968,0,0,0,0
1544018970,0.020276301,107982848,25026560,116,3086.963636,238931968,0,0,0,0
1544018960,0.019737446,107900928,25026560,115.9978909,3086.852966,238931968,0,0,0,0
1544018950,0.020445074,107806720,25026560,116,3086.854545,238931968,0,0,0,0
1544018940,0.014995316,114933760,25026560,116,3086.818182,238931968,0,0,0,0
1544018930,0.01437137,114393088,25026560,105.4545455,2806.181818,238931968,0,0,0,0
1544018920,0.013815191,114360320,25026560,105.4545455,2806.181818,238931968,0,0,0,0
1544018910,0.01431037,114311168,25026560,105.4545455,2806.218182,238931968,0,0,0,0
1544018900,0.015813189,114765824,25026560,116,3086.872727,238931968,0,0,0,0
1544018890,0.014179229,114196480,25026560,105.4545455,2806.290909,238931968,0,0,0,0
1544018880,0.01487006,114638848,25026560,116,3086.981818,238931968,0,0,0,0
1544018870,0.01388339,114057216,25026560,105.4545455,2806.436364,238931968,0,0,0,0
1544018860,0.015372109,114491392,25026560,116,3087.145455,238931968,0,0,0,0
1544018850,0.018635359,114401280,25026560,280.1454545,3444.690909,238931968,0,0,0,0
1544018840,0.016035008,113778688,25026560,259.0545455,2883.454545,238931968,0,0,0,0
1544018830,0.018496316,113713152,25026560,259.0545455,2883.490909,238931968,0,0,0,0
1544018820,0.019252135,114200576,25026560,346.4,3240.945455,238931968,0,0,0,0
1544018810,0.019766325,114151424,25026560,430.4,3283.036364,238931968,0,0,0,0
1544018800,0.01684937,114003968,25026560,360.8,3283.109091,238931968,0,0,0,0
1544018790,0.018930629,113930240,25026560,346.4,3275.981818,238931968,0,0,0,0
1544018780,0.019340462,114552832,25026560,409.7454545,3609.563636,238931968,0,0,0,0
1544018770,0.01518198,122548224,25026560,333.2,3262.945455,238931968,0,0,2.127272727,18.49090909
1544018760,0.662519746,122544128,25026560,32651.6,22596.8,238931968,0,0,14.81818182,142.9636364
1544018750,1.129774205,122544128,25026560,56170.21818,36679.27273,238931968,0,0,27.94545455,273.2
1544018740,1.714454915,143294464,25026560,85275.70909,54034.38182,238931968,0,0,40.69016927,399.5200087
1544018730,2.318217312,143294464,25026560,115258.0909,71903.50909,238931968,0,0,53.38181818,523.1636364
1544018720,2.907823704,143294464,25026560,144453.9091,89324.07273,235311104,0,0,65.61818182,624.2545455
1544018710,3.129253926,142438400,25026560,155459.2909,96088.70909,235311104,0,0,69.98054581,669.0969255
1544018700,3.066326742,143745024,25026560,152122.9091,94066.07273,235311104,0,0,70.00127275,669.6121748
1544018690,3.12943859,141557760,25026560,154312.2909,95346.2,235311104,0,0,69.67399407,666.9757632
1544018680,3.11013614,143626240,25026560,153953.5273,95118.30909,235311104,0,0,70.20127639,674.0668012
1544018670,3.129142566,149639168,25026560,155896.3273,96240.07273,235311104,0,0,68.49090909,671.4545455
1544018660,3.132632329,144060416,25026560,156018.8364,95994.67273,230825984,0,0,70.6,701.3090909
1544018650,3.150283135,143052800,25026560,156829.0364,96652.29091,230825984,0,0,70.67272727,703.4727273
1544018640,3.086456464,143425536,25026560,154941.0545,95437.27273,230825984,0,0,70.65454545,701.1090909
1544018630,3.085376909,146161664,25026560,155136.1273,95539.8,230825984,0,0,71.29220531,704.1400753
1544018620,3.064574791,142983168,25026560,152828.5636,94136.54545,230825984,0,0,69.76363636,690.6545455
1544018610,3.018053149,141627392,25026560,150268.1455,92465.30909,230825984,0,0,69.4,678.8363636
1544018600,3.05012123,142635008,25026560,153720.6,95091.10909,226377728,0,0,69.23636364,660.6363636
